EC_Common.residues_prime_gt2.add_eliminate_ys_simp(1)	cascade/infra_theory	Algebra_Aux.of_integer
EC_Common.residues_prime_gt2.point_mmult_rel.cases(1)	concealed
EC_Common.residues_prime_gt2.point_mmult_rel.simps(1)	concealed
EC_Common.residues_prime_gt2.point_mmult_sumC.cong(1)	KEPT
EC_Common.ell_prime_field.xyz_to_pnt_eq_make_affine(1)	cascade/class_variant	Elliptic_Locale.field.make_affine
EC_Common.residues_prime_gt2.point_mmult_graph.cong(1)	concealed
EC_Common.residues_prime_gt2.point_mmult_rel.induct(1)	concealed
EC_Common.residues_prime_gt2.point_mmult_rel.intros(1)	concealed
EC_Common.residues_prime_gt2.point_mmult.termination(1)	concealed
EC_Common.residues_prime_gt2.point_mmult_graph.cases(1)	concealed
EC_Common.residues_prime_gt2.point_mmult_graph.simps(1)	concealed
EC_Common.residues_prime_gt2.point_mmult_rel.inducts(1)	concealed
EC_Common.field.nonzero_mult_divide_mult_cancel_left'(1)	cascade/infra_theory	Algebra_Aux.m_div
EC_Common.residues_prime_gt2.point_mmult_graph.induct(1)	concealed
EC_Common.residues_prime_gt2.point_mmult_graph.intros(1)	concealed
EC_Common.residues_prime_gt2.point_mmult_graph.intros(2)	concealed
EC_Common.INTEG.P.add.pow_dbl_eq_pow_of_prime_ord_gt_2(1)	KEPT
EC_Common.INTEG.R.add.pow_dbl_eq_pow_of_prime_ord_gt_2(1)	KEPT
EC_Common.euclidean_semiring_cancel_class.mod_pow_cong(1)	KEPT
EC_Common.field.nonzero_mult_divide_divide_cancel_left(1)	cascade/infra_theory	Algebra_Aux.m_div
EC_Common.residues_prime_gt2.point_mmult_graph.inducts(1)	concealed
EC_Common.field_class.divide_eq_divide_iff_mult_eq_mult(1)	cascade/infra_theory	Algebra_Aux.cring_class_ops
EC_Common.ell_prime_field.xyz_to_pnt_in_carrier_on_curvep(1)	cascade/class_variant	Elliptic_Locale.cring.on_curvep
EC_Common.cring_class.add.pow_dbl_eq_pow_of_prime_ord_gt_2(1)	cascade/infra_theory	Algebra_Aux.cring_class_ops
EC_Common.field_class.nonzero_mult_divide_mult_cancel_left'(1)	cascade/infra_theory	Algebra_Aux.cring_class_ops
EC_Common.field_class.nonzero_mult_divide_divide_cancel_left(1)	cascade/infra_theory	Algebra_Aux.cring_class_ops
