TOTAL	consts	13905
TOTAL	const_rej	7232
TOTAL	thms	150439
TOTAL	thm_rej	58260
CONST	concealed	Pell.Efficient_Discrete_Sqrt	2
CONST	hidden	Catalan_Numbers.Catalan_Numbers	1
CONST	hidden	Containers.Containers_Auxiliary	2
CONST	hidden	HOL-Types_To_Sets.Group_On_With	1
CONST	infra_theory	HOL-Decision_Procs.Cooper	122
CONST	infra_theory	HOL.Quickcheck_Exhaustive	118
CONST	inst_infix	Gauss_Jordan.IArray_Addenda	2
CONST	inst_infix	HOL-Analysis.Gamma_Function	2
CONST	inst_infix	HOL-Analysis.Product_Vector	5
CONST	inst_infix	HOL-Library.Signed_Division	2
CONST	sumC_graph	Budan_Fourier.Budan_Fourier	1
CONST	adt_record	Coinductive.Coinductive_List	2
CONST	class_infix	HOL-Analysis.Gamma_Function	1
CONST	class_infix	HOL-Analysis.Product_Vector	2
CONST	class_infix	HOL-Library.Signed_Division	1
CONST	class_pred	HOL-Analysis.Euclidean_Space	1
CONST	class_pred	HOL-Library.Lattice_Algebras	5
CONST	class_pred	Jordan_Normal_Form.Conjugate	5
CONST	class_variant	HOL-Analysis.Infinite_Sum	1
CONST	class_variant	HOL-Library.Quotient_Type	1
CONST	class_variant	HOL-Number_Theory.Mod_Exp	2
CONST	class_variant	Jordan_Normal_Form.Matrix	1
CONST	concealed	HOL-Library.Power_By_Squaring	2
CONST	concealed	Sturm_Sequences.Sturm_Theorem	4
CONST	infra_theory	HOL-Decision_Procs.Ferrack	118
CONST	inst_infix	Coinductive.Coinductive_List	7
CONST	inst_infix	HOL-Analysis.Euclidean_Space	4
CONST	inst_infix	HOL-Analysis.Function_Metric	2
CONST	inst_infix	Jordan_Normal_Form.Conjugate	4
CONST	sumC_graph	Gauss_Jordan.Gauss_Jordan_PA	1
CONST	sumC_graph	HOL-Library.While_Combinator	3
CONST	sumC_graph	Pell.Efficient_Discrete_Sqrt	1
CONST	class_infix	HOL-Analysis.Euclidean_Space	1
CONST	class_infix	HOL-Library.Lattice_Algebras	1
CONST	class_infix	Jordan_Normal_Form.Conjugate	2
CONST	class_pred	Rank_Nullity_Theorem.Mod_Type	1
CONST	class_variant	HOL-Library.Groups_Big_Fun	2
CONST	class_variant	HOL-Library.Multiset_Order	2
CONST	class_variant	HOL.Complete_Partial_Order	3
CONST	concealed	HOL-Analysis.Arcwise_Connected	2
CONST	concealed	HOL-Combinatorics.Permutations	4
CONST	concealed	HOL-Library.Discrete_Functions	2
CONST	concealed	HOL-Library.Sorting_Algorithms	4
CONST	concealed	HOL-Number_Theory.Eratosthenes	2
CONST	concealed	MathBench_ProverBase.Geo_Real2	12
CONST	hidden	HOL-Number_Theory.Euler_Criterion	5
CONST	infra_theory	HOL-Library.Code_Target_Int	4
CONST	infra_theory	HOL-Library.Code_Target_Nat	5
CONST	inst_infix	Cayley_Hamilton.Square_Matrix	10
CONST	inst_infix	HOL-Library.Function_Algebras	4
CONST	inst_infix	HOL-Library.Function_Division	2
CONST	inst_infix	Rank_Nullity_Theorem.Mod_Type	4
CONST	sumC_graph	HOL-Library.Power_By_Squaring	1
CONST	sumC_graph	Sturm_Sequences.Sturm_Theorem	2
CONST	class_infix	Rank_Nullity_Theorem.Mod_Type	1
CONST	class_pred	HOL-Library.Infinite_Typeclass	1
CONST	class_variant	HOL-Analysis.Linear_Algebra	1
CONST	concealed	Catalan_Numbers.Catalan_Numbers	22
CONST	infra_theory	HOL-Library.Code_Cardinality	5
CONST	inst_infix	HOL-Analysis.Abstract_Topology	1
CONST	inst_infix	HOL-Analysis.Function_Topology	1
CONST	inst_infix	HOL-Library.Countable_Set_Type	8
CONST	sumC_graph	HOL-Analysis.Arcwise_Connected	1
CONST	sumC_graph	HOL-Combinatorics.Permutations	2
CONST	sumC_graph	HOL-Library.Discrete_Functions	1
CONST	sumC_graph	HOL-Library.Sorting_Algorithms	2
CONST	sumC_graph	HOL-Number_Theory.Eratosthenes	1
CONST	sumC_graph	MathBench_ProverBase.Geo_Real2	6
CONST	valtermify_term	Linear_Recurrences.RatFPS	1
CONST	class_pred	Jordan_Normal_Form.Missing_Ring	1
CONST	class_variant	Coinductive.Coinductive_List	2
CONST	class_variant	HOL-Library.Lattice_Algebras	2
CONST	class_variant	HOL-Library.Order_Continuity	1
CONST	concealed	Bell_Numbers_Spivey.Bell_Numbers	2
CONST	concealed	HOL-Decision_Procs.Approximation	89
CONST	hidden	Algebraic_Numbers.Algebraic_Numbers	2
CONST	hidden	Landau_Symbols.Landau_Real_Products	10
CONST	inst_infix	Catalan_Numbers.Catalan_Numbers	9
CONST	inst_infix	HOL.BNF_Cardinal_Order_Relation	1
CONST	sumC_graph	Catalan_Numbers.Catalan_Numbers	2
CONST	class_infix	Jordan_Normal_Form.Missing_Ring	1
CONST	class_pred	HOL-Analysis.Elementary_Topology	2
CONST	class_pred	HOL-Computational_Algebra.Primes	8
CONST	class_variant	Rank_Nullity_Theorem.Mod_Type	3
CONST	concealed	HOL-Library.Lattice_Constructions	57
CONST	inst_infix	HOL-Computational_Algebra.Primes	10
CONST	inst_infix	HOL-Decision_Procs.Approximation	18
CONST	inst_infix	HOL-Library.Dual_Ordered_Lattice	14
CONST	sumC_graph	Bell_Numbers_Spivey.Bell_Numbers	1
